created,custom,delete,external,id,modified,module,name,package,parent_urn,pending,project,protected,provider_urn,stack,type,urn,teams,properties,category,account,managed
,true,false,true,default-vpc-0468cbacaa8f8a432,,rds,default-vpc-0468cbacaa8f8a432,aws,,,sentify_demo,false,,ap-southeast-2,aws:rds/subnetGroup:SubnetGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:rds/subnetGroup:SubnetGroup::default-vpc-0468cbacaa8f8a432,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,a898654e-1734-467b-9743-a20870c7fbb4,,ssm,AWS-RunPatchBaselineAssociation,aws,,,sentify_demo,false,,ap-southeast-2,aws:ssm/association:Association,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ssm/association:Association::a898654e-1734-467b-9743-a20870c7fbb4,,,management,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/ppales,,apigatewayv2,ppales,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/deployment:Deployment,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/deployment:Deployment::1zad76qte6/ppales,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-91d841f7_172.31.0.0/16,,ec2,r-rtb-91d841f73854007479,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/route:Route::rtb-91d841f7_172.31.0.0/16,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,aws-cloudtrail-logs-155742740775-21b40f4f,,s3,aws-cloudtrail-logs-155742740775-21b40f4f,aws,,,sentify_demo,false,,ap-southeast-2,aws:s3/bucketPolicy:BucketPolicy,urn:insights:sentify_demo/ap-southeast-2::aws::aws:s3/bucketPolicy:BucketPolicy::aws-cloudtrail-logs-155742740775-21b40f4f,,,storage,sentify_demo/ap-southeast-2,Other
,true,false,true,cms-demo-log-trail,,cloudtrail,cms-demo-log-trail,aws,,,sentify_demo,false,,ap-southeast-2,aws:cloudtrail/trail:Trail,urn:insights:sentify_demo/ap-southeast-2::aws::aws:cloudtrail/trail:Trail::cms-demo-log-trail,,,observability,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-08b100ea7bd145f3f,,ec2,Postgres inbound,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-08b100ea7bd145f3f,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:acm:ap-southeast-2:155742740775:certificate/5ad1ca52-af72-4cb5-9e7f-ce09729deb92,,acm,5ad1ca52-af72-4cb5-9e7f-ce09729deb92,aws,,,sentify_demo,false,,ap-southeast-2,aws:acm/certificate:Certificate,urn:insights:sentify_demo/ap-southeast-2::aws::aws:acm/certificate:Certificate::arn:aws:acm:ap-southeast-2:155742740775:certificate/5ad1ca52-af72-4cb5-9e7f-ce09729deb92,,,security,sentify_demo/ap-southeast-2,Other
,true,false,true,e2e7125b-8b00-4fc2-97b2-a5dbc5c5dbea,,ssm,AWS-UpdateSSMAgent,aws,,,sentify_demo,false,,ap-southeast-2,aws:ssm/association:Association,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ssm/association:Association::e2e7125b-8b00-4fc2-97b2-a5dbc5c5dbea,,,management,sentify_demo/ap-southeast-2,Other
,true,false,true,CompramisedInstances,,ec2,CompramisedInstances,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/keyPair:KeyPair,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/keyPair:KeyPair::CompramisedInstances,,,compute,sentify_demo/ap-southeast-2,Other
